Category,Name,MigratedNodeCount,NodeCount,File,Line,Column
Unit,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\MyComputer.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\MyComputer.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\MyForms.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\MyForms.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\MyProject.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\MyProject.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\MyWebServices.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\MyWebServices.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\NetworkAvailableEventArgs.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\NetworkAvailableEventArgs.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\StartupEventArgs.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\StartupEventArgs.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\StartupNextInstanceEventArgs.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\StartupNextInstanceEventArgs.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\WindowsFormsApplicationBase.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\WindowsFormsApplicationBase.cs,0,0
Unit,F:\HelloWorldVBTest\TestProject\MyProject\MyApplication.cs,0,1,F:\HelloWorldVBTest\TestProject\MyProject\MyApplication.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,0,0
Unit,F:\HelloWorldVBTest\TestProject\Form1.cs,0,1,F:\HelloWorldVBTest\TestProject\Form1.cs,0,0
Unit,F:\HelloWorldVBTest\TestProject\Form1.Designer.cs,0,1,F:\HelloWorldVBTest\TestProject\Form1.Designer.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\AuthenticationMode.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\AuthenticationMode.cs,0,0
Unit,F:\HelloWorldVBTest\MyHelpersNet461\ShutdownMode.cs,0,1,F:\HelloWorldVBTest\MyHelpersNet461\ShutdownMode.cs,0,0
