LibraryName,TypeNodeName,FullTransform,PartialTransform,NotTransform
MyWebServices,CompilationUnit,0,0,1
MyWebServices,Namespace,0,0,1
MyWebServices,DotName,0,0,1
MyWebServices,SimpleName,0,0,2
MyWebServices,Class,0,0,2
StartupNextInstanceEventArgs,CompilationUnit,0,0,1
StartupNextInstanceEventArgs,UsingNamespace,0,0,4
StartupNextInstanceEventArgs,SimpleName,0,0,12
StartupNextInstanceEventArgs,DotName,0,0,6
StartupNextInstanceEventArgs,Namespace,0,0,1
StartupNextInstanceEventArgs,Class,0,0,1
StartupNextInstanceEventArgs,TypeBase,0,0,1
StartupNextInstanceEventArgs,TypeRef,0,0,3
StartupNextInstanceEventArgs,Constructor,0,0,1
StartupNextInstanceEventArgs,ParamList,0,0,1
StartupNextInstanceEventArgs,Param,0,0,2
StartupNextInstanceEventArgs,GenericName,0,0,2
StartupNextInstanceEventArgs,TypeArgList,0,0,2
StartupNextInstanceEventArgs,AliasTypeRef,0,0,4
StartupNextInstanceEventArgs,Block,0,0,1
StartupNextInstanceEventArgs,ExpressionStat,0,0,2
StartupNextInstanceEventArgs,Assign,0,0,2
StartupNextInstanceEventArgs,ThisMemberAccess,0,0,2
StartupNextInstanceEventArgs,This,0,0,2
StartupNextInstanceEventArgs,MemberAccess,0,0,3
StartupNextInstanceEventArgs,SingleAccess,0,0,2
StartupNextInstanceEventArgs,Call,0,0,1
StartupNextInstanceEventArgs,ExprMemberAccess,0,0,1
StartupNextInstanceEventArgs,ArgList,0,0,1
StartupNextInstanceEventArgs,Property,0,0,2
StartupNextInstanceEventArgs,PropBody,0,0,2
StartupNextInstanceEventArgs,Get,0,0,2
StartupNextInstanceEventArgs,Semicolon,0,0,3
StartupNextInstanceEventArgs,Set,0,0,1
MyComputer,CompilationUnit,0,0,1
MyComputer,Namespace,0,0,1
MyComputer,DotName,0,0,1
MyComputer,SimpleName,0,0,2
MyComputer,Class,0,0,1
NetworkAvailableEventArgs,CompilationUnit,0,0,1
NetworkAvailableEventArgs,UsingNamespace,0,0,1
NetworkAvailableEventArgs,SimpleName,0,0,4
NetworkAvailableEventArgs,Namespace,0,0,1
NetworkAvailableEventArgs,DotName,0,0,1
NetworkAvailableEventArgs,Class,0,0,1
NetworkAvailableEventArgs,TypeBase,0,0,1
NetworkAvailableEventArgs,TypeRef,0,0,1
NetworkAvailableEventArgs,Constructor,0,0,1
NetworkAvailableEventArgs,ParamList,0,0,1
NetworkAvailableEventArgs,Param,0,0,1
NetworkAvailableEventArgs,AliasTypeRef,0,0,2
NetworkAvailableEventArgs,Block,0,0,1
NetworkAvailableEventArgs,ExpressionStat,0,0,1
NetworkAvailableEventArgs,Assign,0,0,1
NetworkAvailableEventArgs,ThisMemberAccess,0,0,1
NetworkAvailableEventArgs,This,0,0,1
NetworkAvailableEventArgs,MemberAccess,0,0,1
NetworkAvailableEventArgs,SingleAccess,0,0,1
NetworkAvailableEventArgs,Property,0,0,1
NetworkAvailableEventArgs,PropBody,0,0,1
NetworkAvailableEventArgs,Get,0,0,1
NetworkAvailableEventArgs,Semicolon,0,0,2
NetworkAvailableEventArgs,Set,0,0,1
MyProject,CompilationUnit,0,0,1
MyProject,Namespace,0,0,1
MyProject,DotName,0,0,1
MyProject,SimpleName,0,0,10
MyProject,Class,0,0,2
MyProject,Property,0,0,4
MyProject,TypeRef,0,0,8
MyProject,PropBody,0,0,4
MyProject,Get,0,0,4
MyProject,Semicolon,0,0,8
MyProject,Set,0,0,4
MyProject,PropInit,0,0,4
MyProject,NewObject,0,0,4
MyProject,ArgList,0,0,4
StartupEventArgs,CompilationUnit,0,0,1
StartupEventArgs,UsingNamespace,0,0,2
StartupEventArgs,DotName,0,0,4
StartupEventArgs,SimpleName,0,0,8
StartupEventArgs,Namespace,0,0,1
StartupEventArgs,Class,0,0,1
StartupEventArgs,TypeBase,0,0,1
StartupEventArgs,TypeRef,0,0,4
StartupEventArgs,Field,0,0,1
StartupEventArgs,GenericName,0,0,3
StartupEventArgs,TypeArgList,0,0,3
StartupEventArgs,AliasTypeRef,0,0,3
StartupEventArgs,VarDeclarator,0,0,1
StartupEventArgs,Constructor,0,0,1
StartupEventArgs,ParamList,0,0,1
StartupEventArgs,Param,0,0,1
StartupEventArgs,Block,0,0,1
StartupEventArgs,ExpressionStat,0,0,1
StartupEventArgs,Assign,0,0,1
StartupEventArgs,ThisMemberAccess,0,0,2
