Unique Id,Code,Origin,Complexity,Severity,Category,Description,Message,InputType,OutputType,File,Line,Column,Lines,SourceCode
3,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,17,5,29,"""

    public class WinFormsAppContext : ApplicationContext
    {
        private WindowsFormsApplicationBase m_App;

        public WinFormsAppContext(WindowsFormsApplicationBase App)
        {
            m_App = App;
        }

        protected override void OnMainFormClosed(object sende, EventArgs e)
        {
            if (m_App.ShutdownStyle == ShutdownMode.AfterMainFormCloses)
            {
                base.OnMainFormClosed(sender, e);
                return;
     """
6,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\MyComputer.cs,3,5,4,"    public class MyComputer
    {
        // TODO Add Registry and other classes
    }"
9,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\MyForms.cs,9,9,70,"""
        public class MyForms
        {
            Dictionary<Typ, Form> myForms = new Dictionary<Type, Form>();
            Dictionary<Type, Form> m_FormBeingCreated = new Dictionary<Type, Form>();

            public T Form<T>() where T : Form, new()
            {
                var type = typeof(T);
                myForms.TryGetValue(type, out var instance);
                if (instance?.IsDisposed ?? true)
                {
                    if (m_FormBeingCreated.ContainsK"""
12,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\MyProject.cs,6,2,12,"


	public partial class MyProject
	{

		public MyForms MyForms { get; set; } = new MyForms();

		public MyComputer Computer { get; set; } = new MyComputer();

		public MyWebServices WebServices { get; set; } = new MyWebServices();
	}"
14,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\MyProject.cs,16,2,5,"
	public static class MyHelpers
    {
		public static MyProject MyProject { get; set; } = new MyProject();
    }"
17,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\MyWebServices.cs,5,9,4,"        public class MyWebServices
        {

        }"
19,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\MyWebServices.cs,3,5,7,"    public partial class MyProject
    {
        public class MyWebServices
        {

        }
    }"
22,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\NetworkAvailableEventArgs.cs,5,5,16,"""    public class NetworkAvailableEventArgs : EventArgs
    {
        /// <summary>
        /// 
        /// </summary>
        /// <param name'networkAvailable'>A System.Boolean that indicates whether a network is available to the application</param>
        public NetworkAvailableEventArgs(bool networkAvailable)
        {
            this.IsNetworkAvailable = networkAvailable;
        }

        /// <summary>
        /// Gets a value indicating whether a network is available to the"""
25,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\StartupEventArgs.cs,6,5,9,"    public class StartupEventArgs : CancelEventArgs
    {
        private IList<string> args;

        public StartupEventArgs(IList<string> args) { this.args = args; }


        public IList<string> CommandLine => this.args;
    }"
28,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\MyHelpersNet461\StartupNextInstanceEventArgs.cs,8,5,25,"""    public class StartupNextInstanceEventArgs : EventArgs
    {
        /// <summary>
        /// 
        /// </summary>
        /// <param name'args'></param>
        /// <param name='bringToForegroundFlag'> A System.Boolean that indicates whether the first application instance should
        //     be brought to the foreground upon exiting the exception handler.</param>
        public StartupNextInstanceEventArgs(IEnumerable<string> args, bool bringToForegroundFlag)
        {
     """
